gpa,attendance,family_income,previous_scholarship,extracurricular,category,eligible
2.84,88.7,61567,0,1,sc,1
2.54,68.2,138662,0,0,ews,0
2.88,69.2,42445,0,1,sc,1
2.96,68.8,167156,0,1,st,1
3.7,81.9,41212,0,1,general,1
2.91,91.3,114649,0,0,ews,1
3.84,89.1,141686,1,1,general,1
3.67,55.3,170448,0,1,st,1
3.79,51.4,70528,0,1,ews,1
3.82,82.8,228445,0,0,general,1
3.6,61.9,80496,0,1,st,1
3.54,84.9,207112,0,0,st,1
3.26,92.6,118809,0,0,general,1
3.42,99.0,190362,0,1,sc,1
3.77,85.5,109951,0,0,general,1
2.92,89.2,72566,0,0,sc,1
2.6,78.9,139936,0,1,sc,1
3.02,70.2,229464,0,0,obc,1
2.61,71.4,198968,0,0,sc,0
2.44,79.4,155174,0,0,ews,1
2.45,78.6,95506,0,1,obc,1
2.63,89.4,93563,0,1,obc,1
3.03,86.8,144879,1,0,st,1
3.6,65.7,135591,0,0,st,1
3.68,52.8,30479,0,0,ews,1
3.49,50.7,115928,1,0,st,1
3.2,56.0,132977,1,1,ews,1
2.62,84.4,46285,0,1,sc,1
2.42,76.3,123080,0,1,general,1
3.11,92.0,202788,0,0,st,1
2.16,87.8,21812,0,0,obc,0
3.81,52.2,162437,0,0,ews,1
2.99,54.2,75991,1,1,ews,1
3.34,88.1,158091,0,0,general,1
3.69,74.1,138460,1,0,sc,1
3.17,92.5,103443,0,0,ews,1
2.8,95.9,161697,0,0,sc,1
2.05,96.4,176410,0,1,obc,1
2.56,85.2,137146,1,1,sc,1
3.52,95.2,134588,1,1,sc,1
2.23,86.6,204594,0,1,obc,1
3.97,64.4,207509,1,0,sc,1
2.08,88.9,241254,1,0,obc,0
2.82,89.7,166661,0,1,general,1
3.65,51.8,25102,0,0,ews,1
3.43,88.7,13933,0,1,st,1
2.47,81.1,67609,0,0,st,1
2.06,70.1,178556,0,0,st,0
2.7,92.7,226802,0,0,ews,1
3.77,59.4,173678,0,1,general,1
4.0,64.8,196518,0,1,obc,1
2.78,95.8,64238,0,0,obc,1
2.4,50.9,83831,0,0,obc,0
3.92,87.6,131740,0,1,obc,1
2.65,95.5,84830,1,1,obc,1
2.6,62.1,83327,0,1,ews,0
3.12,89.6,151233,0,0,sc,1
3.35,90.7,171838,1,0,st,1
2.2,82.6,87909,0,0,st,0
3.92,55.2,81888,0,0,general,1
3.03,65.6,23308,0,0,general,1
3.4,60.4,244559,0,0,ews,1
2.22,93.1,50691,0,0,general,0
2.86,89.0,123200,0,0,st,0
2.96,84.2,91337,0,1,ews,1
2.92,85.6,57543,0,0,general,1
2.02,59.4,206340,0,1,general,0
3.14,79.5,175617,0,1,st,1
2.33,88.6,248853,0,1,st,0
3.21,99.2,30908,1,0,ews,1
3.2,60.8,134664,0,0,obc,1
2.69,51.0,179099,0,1,general,0
2.63,94.5,47209,0,0,obc,1
2.35,75.4,40881,0,0,st,1
3.17,56.3,148300,1,0,st,1
2.55,52.5,118429,0,1,obc,0
2.04,79.8,49190,1,0,ews,1
3.11,69.8,190895,0,1,sc,1
3.97,71.0,231965,0,1,obc,1
2.82,54.7,195787,0,1,st,0
3.92,58.9,174310,1,1,general,1
2.94,86.7,165375,0,0,st,1
3.46,89.1,238040,0,1,obc,1
3.6,55.0,12772,1,0,ews,1
2.75,86.0,233641,0,0,st,1
3.16,70.5,14425,1,0,sc,1
2.75,69.7,195002,0,1,general,0
3.91,62.2,59170,1,1,general,1
2.4,59.3,125970,0,0,obc,0
2.96,98.0,70249,0,0,sc,1
2.59,88.2,83787,1,1,st,1
3.91,53.6,109609,0,1,general,0
3.69,80.8,107808,0,0,obc,1
3.7,79.2,136718,0,0,sc,1
3.52,88.6,22272,1,0,ews,1
2.2,63.2,54324,0,0,st,0
2.49,85.5,43913,1,0,st,1
2.5,62.2,82482,1,1,general,0
3.04,74.5,119471,0,0,obc,1
2.25,97.6,33280,1,0,obc,1
2.42,62.7,220088,0,1,general,0
3.22,73.3,243085,0,0,obc,0
3.64,87.1,100268,0,1,obc,1
2.1,67.1,25589,0,1,sc,1
2.42,96.2,138384,0,0,obc,0
2.56,53.1,106610,0,0,obc,0
2.79,96.1,166143,0,0,ews,1
3.2,73.6,158112,0,0,st,1
3.69,52.0,247137,1,1,obc,1
3.06,83.0,53004,1,0,ews,1
2.81,78.1,47584,0,1,sc,1
3.29,67.1,177772,0,0,obc,1
3.33,82.8,186469,0,0,sc,1
3.56,93.0,190796,0,0,ews,1
2.28,64.2,78902,1,0,sc,1
3.4,97.6,150606,0,1,sc,1
3.95,70.0,116809,0,0,sc,1
3.22,72.2,53997,1,0,st,1
2.98,81.6,205489,0,1,ews,1
3.69,98.9,16975,1,1,sc,1
2.91,62.0,156280,0,0,sc,0
2.82,60.9,168470,1,0,st,1
2.67,89.9,43963,0,1,st,1
2.78,99.9,80181,0,0,general,1
3.87,99.0,162573,0,1,general,1
3.77,83.2,119716,1,0,general,1
3.1,75.0,82228,0,1,sc,1
2.19,86.4,40140,0,0,st,1
2.1,83.6,193615,1,1,ews,0
2.83,66.1,67982,1,0,sc,1
2.29,94.0,229944,0,0,general,0
2.11,50.0,32663,1,0,obc,0
3.65,58.4,18270,1,1,general,1
3.64,54.6,112766,0,0,ews,1
3.01,87.5,182016,0,0,obc,1
3.5,55.9,192816,0,0,general,1
2.8,99.5,215181,0,0,general,1
3.75,98.8,239459,0,0,st,1
2.58,86.7,13537,0,1,obc,1
2.05,52.5,233568,0,0,sc,0
3.52,91.3,94949,0,0,obc,1
2.63,78.2,164171,0,0,sc,0
3.79,82.3,197202,1,0,general,1
3.87,53.0,92932,0,0,ews,1
2.43,55.0,110709,0,0,ews,0
3.72,66.0,93828,0,0,ews,1
3.22,60.3,202667,1,0,st,1
2.23,81.0,108943,1,1,general,1
3.05,99.8,117340,0,0,general,1
3.15,90.3,232136,1,0,general,1
2.8,79.2,123900,0,0,general,1
3.73,79.5,149422,0,0,ews,1
3.85,96.6,185859,0,0,ews,1
2.92,82.9,95401,0,0,obc,1
2.19,58.3,131154,0,0,sc,0
3.51,62.9,137231,1,1,st,1
2.11,97.3,213629,1,1,ews,1
2.08,84.0,229396,0,1,obc,0
2.99,73.3,119617,1,0,general,1
2.75,78.3,25868,0,1,ews,1
3.07,98.3,30254,1,0,st,1
3.76,68.7,39914,1,0,general,1
3.96,80.4,228598,0,0,obc,1
3.59,91.9,28398,0,1,ews,1
3.04,73.2,115199,0,1,sc,1
3.24,52.0,150328,0,0,obc,0
2.38,67.2,56203,1,0,general,1
3.95,54.0,150639,1,1,sc,1
2.86,51.8,60663,1,1,obc,1
3.41,65.1,136256,0,1,st,1
2.24,53.0,13127,0,0,st,0
3.13,69.9,200695,0,1,obc,1
2.38,64.3,59108,0,1,st,1
3.66,98.8,159348,1,0,st,1
3.09,77.2,241759,1,1,st,1
2.91,69.3,78621,0,0,ews,1
3.56,72.3,58084,0,0,st,1
2.41,98.8,206745,0,1,ews,0
2.47,52.5,96571,0,0,general,0
3.82,76.9,169101,0,1,sc,1
3.73,97.4,42367,0,0,ews,1
3.89,68.9,89489,0,0,sc,1
3.31,83.6,50578,0,1,obc,1
3.87,59.4,207674,0,0,general,1
2.87,99.7,35560,0,0,obc,1
3.19,61.4,183283,0,1,sc,1
3.79,73.8,182691,1,1,general,1
2.86,81.9,57955,0,0,st,1
3.34,98.0,179767,0,1,ews,1
3.47,73.0,138718,1,0,ews,1
3.25,87.4,65458,0,0,st,1
2.31,59.9,106048,0,1,ews,0
3.42,58.8,190804,0,0,ews,1
2.62,56.4,180285,0,0,obc,0
3.56,87.4,37944,0,1,st,1
2.72,58.8,67058,0,0,obc,1
2.63,63.6,98988,0,0,general,0
2.47,88.2,26051,0,1,st,1
4.0,80.7,116972,1,1,st,1
2.16,50.8,150194,0,0,obc,0
3.1,91.8,247503,0,1,general,1
3.99,93.6,40211,0,0,st,1
3.21,96.9,114779,0,0,ews,1
2.39,52.9,161793,0,1,st,0
2.38,58.8,65704,0,1,st,1
3.36,90.7,112023,0,1,ews,1
2.86,71.6,178487,1,1,ews,1
3.67,60.7,173029,0,1,general,1
2.42,75.9,185472,0,0,st,0
2.74,59.4,53127,0,0,general,0
3.28,84.5,43954,0,0,st,1
2.49,86.5,32700,0,0,sc,1
2.37,73.2,68640,1,1,ews,1
2.53,63.7,40217,0,1,ews,1
2.45,92.3,162423,0,0,ews,1
3.57,60.5,105469,1,1,st,1
2.1,93.4,140869,0,1,ews,0
3.56,96.9,37215,0,1,sc,1
3.49,91.0,50375,0,0,sc,1
3.01,75.3,132223,0,1,obc,1
2.49,86.8,80901,0,0,sc,1
3.92,86.1,205779,1,0,st,1
2.95,99.3,64860,0,1,general,1
3.58,69.1,157194,1,0,st,1
2.67,80.3,82005,1,0,sc,0
3.42,78.2,156092,0,0,obc,1
2.06,69.8,111095,0,1,st,0
3.73,87.3,186873,0,0,st,1
2.49,61.5,109016,1,1,general,0
3.49,76.6,36472,0,1,obc,1
3.78,90.6,25836,0,0,ews,1
3.81,96.1,208591,0,0,ews,1
2.24,53.6,26583,0,0,st,0
3.16,88.7,20865,1,1,sc,1
3.43,72.4,179687,0,0,ews,1
2.52,57.7,191748,1,0,ews,0
3.71,53.9,221808,0,0,sc,1
3.82,64.8,246401,0,1,obc,1
3.22,81.2,232088,0,1,general,1
2.15,72.3,24245,0,0,obc,0
3.49,61.9,213213,0,1,st,1
3.0,81.0,183704,0,0,st,1
3.48,53.6,109551,0,1,obc,1
2.94,98.1,134122,0,0,obc,1
2.0,71.6,99222,0,0,sc,0
2.31,97.1,242098,0,0,general,0
2.82,88.0,48422,1,0,ews,1
3.7,99.9,204066,0,0,ews,1
3.16,99.7,14099,0,1,st,1
3.87,60.2,102233,1,0,obc,1
3.97,99.3,230797,1,0,st,1
3.09,78.0,53506,0,0,obc,1
2.67,66.5,137555,0,1,general,0
2.46,88.0,246352,0,0,obc,0
3.31,63.8,175563,0,1,general,1
3.7,57.8,135508,0,0,sc,1
3.61,94.7,42028,0,1,general,1
2.3,60.1,204369,0,1,sc,0
2.99,65.0,231188,0,0,obc,1
2.7,85.6,97454,0,1,general,0
3.55,90.5,64741,0,0,sc,1
2.49,52.1,217814,0,0,ews,0
3.65,96.3,115764,1,0,ews,1
3.9,50.6,219786,1,1,sc,1
3.1,53.9,27875,0,1,st,1
3.14,57.7,169714,0,1,sc,0
2.94,75.5,141649,1,1,ews,1
2.35,61.0,185316,1,1,obc,0
3.72,68.9,59553,0,1,st,1
2.52,84.6,165274,0,0,st,0
2.68,53.6,110806,1,0,obc,0
3.69,76.0,87562,0,1,st,1
2.23,94.3,176095,0,0,obc,0
2.09,64.3,120224,0,0,general,0
2.56,51.6,175124,0,1,sc,0
2.03,62.4,91921,0,1,obc,0
3.06,79.7,46493,0,0,general,1
2.2,89.1,210488,0,1,st,1
2.57,89.4,131400,1,1,sc,1
2.89,77.3,139608,0,1,general,1
2.91,92.1,133962,0,1,ews,1
2.26,52.6,184786,0,0,st,0
2.85,96.5,185820,1,0,obc,1
3.72,72.4,42677,1,0,ews,1
3.95,59.3,180212,0,0,ews,1
3.36,59.1,132655,0,0,sc,1
3.43,73.3,167434,1,1,ews,1
3.8,67.1,188412,0,0,general,1
3.49,56.5,82607,1,1,st,1
3.43,99.6,128297,0,0,ews,1
2.36,80.7,94746,1,0,general,0
2.22,62.0,91879,0,0,ews,0
2.76,69.3,245291,0,0,ews,0
2.4,87.8,154680,1,0,st,1
2.63,88.7,28184,1,1,sc,1
3.53,90.3,193913,1,0,ews,1
3.54,54.7,77822,0,1,sc,1
3.2,92.8,94830,0,0,general,1
2.9,63.3,243144,0,1,ews,1
3.79,71.3,192159,0,0,ews,1
3.01,57.6,194494,0,0,ews,1
2.51,98.5,13805,1,1,sc,1
3.05,58.5,65961,0,0,st,1
2.23,78.2,103222,0,1,sc,1
2.14,75.6,82182,0,0,ews,0
3.79,59.3,74032,0,1,ews,1
2.31,55.2,183723,0,1,st,0
3.84,54.4,225786,1,1,general,1
2.71,72.6,187508,0,1,obc,1
3.41,53.4,152671,0,0,general,0
2.19,97.5,223515,1,0,sc,1
2.74,76.9,123239,0,0,ews,0
2.77,59.8,177768,0,0,ews,0
3.07,88.6,16005,0,1,ews,1
3.82,89.7,95687,0,1,general,1
2.92,54.6,117604,0,1,obc,0
3.45,93.5,154365,0,1,sc,1
3.74,51.8,35571,0,1,obc,1
2.84,59.4,225484,0,0,ews,0
3.78,88.2,31817,0,1,general,1
3.22,65.4,156346,0,1,ews,1
2.01,86.5,247177,1,0,st,0
2.87,66.2,199192,0,1,obc,1
3.99,53.9,105336,0,0,ews,1
2.35,88.2,208236,1,0,obc,0
2.81,54.0,81731,1,0,ews,1
3.15,74.9,210050,0,1,obc,1
2.86,84.5,62101,0,1,st,1
2.34,53.5,135036,0,1,sc,0
3.73,91.8,29933,0,0,general,1
2.47,77.4,194765,1,0,obc,1
3.98,57.5,148174,0,0,st,1
3.33,84.3,193643,0,0,ews,1
2.92,66.3,177702,0,0,ews,0
3.74,80.1,148694,0,1,general,1
2.3,50.4,39018,1,1,general,1
3.5,53.6,214143,1,0,obc,1
3.19,99.6,243132,0,0,ews,1
3.19,89.6,176636,1,1,sc,1
3.11,64.9,219690,1,1,ews,1
2.83,76.9,230564,0,0,obc,0
2.13,96.6,193594,0,1,general,1
3.8,86.3,37237,0,1,general,1
3.66,85.9,221264,0,1,obc,1
3.18,83.2,110211,1,1,obc,1
2.4,77.0,92403,0,0,obc,0
3.17,79.3,94176,0,1,sc,1
3.25,76.9,17982,0,0,sc,1
3.75,84.0,90778,0,0,general,1
3.65,79.7,240671,0,0,obc,1
3.45,76.0,75020,0,0,ews,1
2.75,97.2,102844,0,0,obc,1
3.63,69.2,211059,1,0,sc,1
3.92,70.1,57813,1,1,general,1
3.1,60.6,189716,0,0,st,0
3.9,91.5,182477,0,1,ews,1
3.06,82.1,221567,0,0,obc,0
2.47,91.8,97723,0,0,general,0
2.33,78.2,204334,0,1,ews,0
3.83,95.1,237475,0,1,st,1
3.38,50.8,20397,0,1,st,1
2.02,75.5,87268,0,0,obc,0
3.94,58.6,158516,0,0,ews,1
3.29,97.5,89535,0,0,ews,1
2.93,51.5,206170,0,1,sc,0
3.21,69.8,125409,0,1,general,1
2.03,77.9,164399,1,0,sc,0
3.39,92.9,233121,1,0,general,1
2.15,59.7,95966,0,0,general,0
2.9,70.1,215414,1,1,sc,1
3.83,54.4,100114,1,1,obc,1
3.33,72.8,179934,0,0,sc,1
2.47,83.3,24294,1,1,ews,1
3.55,63.6,44179,0,1,obc,1
3.8,93.9,228431,0,1,st,1
2.84,78.0,94222,0,0,ews,1
2.99,94.4,141348,0,0,sc,1
2.42,91.1,101900,0,1,general,1
3.73,64.6,209181,0,1,st,1
3.69,99.7,54204,1,1,obc,1
3.85,69.7,109369,0,0,obc,1
2.79,69.7,146587,0,1,ews,0
2.14,78.7,104666,0,0,obc,0
2.94,79.1,65918,0,1,obc,1
2.68,90.0,150718,0,1,st,1
3.48,61.9,188671,0,0,sc,1
2.76,93.8,67964,1,0,st,1
2.06,69.7,234764,0,0,st,0
3.62,85.5,17175,1,0,obc,1
3.29,98.6,29518,0,0,ews,1
2.45,75.2,137175,0,1,st,0
3.61,67.8,170884,0,1,obc,1
2.27,69.7,135225,0,0,st,0
2.67,63.6,153227,0,0,obc,1
3.15,54.7,83833,0,1,st,1
3.57,60.3,196314,0,0,general,1
3.45,91.9,37788,1,1,general,1
3.4,83.7,146966,0,1,obc,1
2.63,53.6,152729,0,1,st,0
3.98,58.1,83289,1,0,sc,1
2.71,82.4,144023,0,0,obc,1
2.21,81.9,64486,0,1,ews,1
3.08,96.7,120023,1,0,ews,1
3.98,92.3,31450,0,0,obc,1
3.54,99.9,14290,0,1,obc,1
2.49,66.4,148005,0,0,sc,0
3.75,84.7,111601,0,1,general,1
3.19,71.7,37824,0,1,st,1
3.91,99.0,233060,0,0,sc,1
3.47,61.1,216793,0,1,obc,1
3.29,82.5,129636,0,0,ews,1
2.87,71.9,192555,0,1,ews,1
2.13,88.4,183112,0,0,ews,0
2.64,87.9,77132,0,0,st,1
2.83,76.3,63093,0,0,ews,1
2.82,77.8,83348,0,1,st,0
2.04,62.5,231478,0,0,general,0
3.06,50.0,41719,0,0,general,1
3.1,61.1,109432,1,0,general,1
2.29,99.1,147574,0,1,sc,1
3.95,60.2,218700,0,0,sc,1
2.3,99.9,126764,0,1,ews,1
3.85,78.4,157805,0,0,sc,1
2.91,57.7,207712,1,0,ews,0
4.0,50.4,219924,0,0,general,0
3.37,79.4,125039,0,1,ews,1
3.13,94.1,232080,0,0,sc,1
2.49,50.6,49060,0,1,st,0
2.57,70.9,41834,1,1,ews,1
2.31,88.8,56716,1,0,general,1
2.31,50.6,89370,1,1,ews,0
2.2,79.6,38913,0,0,ews,0
3.15,59.2,72766,0,0,obc,1
3.01,91.0,58234,0,1,sc,1
3.23,63.9,189019,0,0,general,0
2.12,77.4,233716,0,1,general,0
2.62,77.4,218349,0,1,obc,0
3.96,54.9,159368,0,0,st,1
2.17,88.7,168374,0,0,obc,0
2.59,94.5,128269,0,0,sc,1
3.9,54.6,150580,0,0,ews,0
2.95,78.5,53655,0,0,ews,1
3.2,68.9,123651,0,0,sc,0
3.97,85.3,182783,0,0,sc,1
2.76,96.2,172171,0,1,sc,1
2.92,82.1,174004,0,1,st,1
3.3,89.1,156555,0,1,sc,1
2.43,63.5,66848,0,0,obc,0
2.75,72.3,229514,0,1,obc,1
2.03,98.2,28457,0,1,st,1
2.67,80.5,32809,0,0,sc,1
3.32,89.0,206990,0,0,sc,1
3.09,96.0,104968,1,1,st,1
2.93,52.4,75073,0,0,general,0
3.91,59.8,24898,1,1,st,1
2.66,82.3,116481,1,0,general,1
3.42,82.8,13111,0,0,obc,1
2.54,63.6,166929,0,0,general,0
2.38,59.7,77525,0,1,obc,0
2.85,95.1,140470,0,1,general,1
3.69,52.8,28960,0,0,sc,1
3.99,53.2,76556,0,1,st,1
3.72,59.2,92135,0,0,general,1
2.37,66.6,23002,0,1,general,1
3.96,98.2,236609,0,1,general,1
2.19,59.4,140699,0,1,general,0
3.42,99.2,125763,0,1,sc,1
2.01,75.4,160741,0,0,st,0
2.12,54.0,235566,1,0,sc,0
2.39,51.3,70327,0,1,obc,0
3.11,54.7,146496,1,1,general,1
3.83,82.5,136950,0,0,st,1
2.22,54.8,161200,0,1,ews,0
2.29,87.4,72457,0,0,ews,1
2.55,90.6,20023,0,0,sc,1
3.35,59.7,82261,0,0,sc,1
3.04,55.0,134403,0,1,general,0
2.71,66.1,168501,0,1,st,0
2.23,77.8,82530,1,1,ews,1
3.94,77.7,110452,0,0,ews,1
2.2,65.4,77183,0,0,obc,0
2.14,73.9,211950,0,0,ews,0
3.9,57.0,235311,0,1,st,1
3.41,91.0,54741,0,0,obc,1
3.33,51.7,20176,0,0,ews,1
3.26,71.1,21054,0,0,general,1
3.16,74.6,68628,1,1,obc,1
2.96,51.3,44278,0,0,st,1
2.12,51.3,124165,0,1,obc,0
3.09,80.8,115872,0,1,ews,1
2.17,65.6,89769,0,1,general,0
3.21,92.3,233736,1,0,obc,1
3.89,63.7,176989,0,0,general,1
3.05,94.2,204013,0,0,ews,1
2.32,55.2,178299,0,1,obc,0
3.55,69.6,223866,0,0,general,1
2.99,67.8,146451,0,1,obc,1
2.64,67.3,77459,0,0,obc,1
3.39,82.4,106751,0,1,general,1
3.71,58.2,98583,0,0,obc,1
2.91,97.7,19902,1,1,ews,1
2.41,84.3,241751,1,0,obc,1
2.28,84.9,69268,0,1,st,1
2.15,55.5,30219,0,0,sc,0
3.05,95.4,23874,1,0,st,1
3.01,55.0,199764,0,0,sc,0
2.6,61.6,115542,1,0,sc,1
3.72,67.1,77107,0,0,sc,1
2.17,93.9,176690,1,1,st,1
3.97,62.4,189906,0,0,general,1
2.01,79.8,87104,0,0,ews,0
3.76,66.8,16923,1,0,sc,1
3.38,78.0,164297,0,1,general,1
3.88,95.1,19329,1,0,general,1
2.01,64.4,185949,1,1,sc,0
2.62,98.3,206160,0,1,obc,1
3.11,71.6,203985,1,1,st,1
2.88,85.3,31323,0,1,st,1
2.42,74.9,81981,0,1,obc,0
2.26,90.8,67003,1,0,sc,1
2.83,78.5,103643,0,1,general,0
2.99,90.5,157506,0,1,sc,1
3.98,98.6,118091,1,1,st,1
3.09,88.3,137639,1,0,obc,1
3.01,71.6,173628,0,1,general,1
2.1,50.8,18208,0,1,obc,0
2.46,79.6,205282,0,1,general,1
3.77,61.3,44581,0,0,ews,1
2.23,92.6,121364,0,0,st,0
2.58,90.0,235544,1,1,obc,1
3.42,75.2,30050,0,1,st,1
3.72,74.1,146591,0,1,st,1
2.61,72.3,79100,0,1,ews,1
3.49,53.7,22808,1,0,sc,1
3.83,90.0,248159,0,1,ews,1
3.61,66.4,66711,0,0,st,1
3.74,94.1,86021,0,0,st,1
3.0,61.0,116757,0,0,st,0
2.4,61.3,96938,0,1,sc,0
3.21,84.7,116925,0,0,ews,1
3.24,63.9,185344,1,1,obc,1
3.77,83.6,229684,0,0,sc,1
3.2,70.8,124444,0,1,obc,0
3.61,76.7,165572,0,1,ews,1
2.1,87.8,78259,0,0,ews,1
2.59,60.5,228756,0,0,ews,0
2.32,70.9,172524,0,0,st,0
3.78,84.0,105280,0,0,ews,1
2.76,78.8,222182,0,0,ews,0
3.58,93.9,100837,0,0,ews,1
3.48,58.6,247770,0,0,obc,1
2.7,97.6,156212,0,0,sc,0
2.18,77.1,68575,0,0,sc,0
2.05,71.5,189432,0,1,st,0
2.12,57.7,169267,0,0,ews,0
3.74,87.9,239941,1,1,st,1
3.46,90.1,204837,0,1,st,1
3.7,71.6,183908,1,1,st,1
3.42,87.8,141522,1,1,st,1
2.33,98.7,64388,0,1,ews,1
2.42,59.4,18455,0,0,st,0
2.5,93.8,193606,0,0,ews,1
2.9,87.6,162197,0,0,obc,1
3.86,58.3,47978,0,0,st,1
2.12,89.5,210395,0,1,obc,0
3.88,98.1,107370,1,1,sc,1
3.41,53.9,204557,1,0,sc,1
3.87,61.3,96835,1,1,obc,1
2.7,84.9,15190,0,0,ews,1
3.12,82.7,141494,1,0,sc,1
2.03,60.3,30264,0,0,ews,0
3.33,81.5,158810,1,1,st,1
3.13,53.1,183342,0,0,obc,0
3.37,92.0,162626,0,0,sc,1
3.45,77.2,80085,0,1,ews,1
2.95,81.0,198687,0,0,obc,1
3.37,52.0,193036,0,1,sc,1
3.31,80.4,22029,0,1,st,1
2.47,64.2,137901,0,0,obc,0
3.21,61.0,102247,0,1,st,1
2.94,51.4,223219,0,1,sc,0
3.13,62.9,51367,0,0,sc,1
2.22,56.0,150425,0,0,st,0
2.04,70.9,96965,1,1,sc,0
3.95,52.0,149600,1,1,st,1
2.28,83.2,127031,0,1,obc,0
2.62,70.0,219467,0,0,general,0
3.41,76.5,36938,0,1,ews,1
3.09,91.0,49514,0,1,obc,1
2.79,65.2,108165,0,1,obc,1
2.44,93.3,53628,1,0,ews,1
3.07,91.4,35576,1,0,general,1
3.02,51.8,156307,0,0,obc,0
3.0,54.7,97657,0,0,general,0
2.36,94.1,88627,0,1,ews,1
2.85,98.0,162343,0,0,st,1
3.98,97.3,170898,0,0,general,1
3.39,63.7,233799,0,0,ews,1
2.86,57.2,161719,0,0,st,1
2.15,60.1,228464,0,0,general,0
2.17,72.1,24497,0,0,obc,0
2.44,73.3,27051,1,1,st,1
2.16,66.2,13764,0,0,ews,1
2.68,59.0,165719,0,1,sc,1
3.08,59.2,27668,0,0,obc,1
2.53,58.6,57050,0,1,st,1
2.5,72.6,241303,0,0,general,0
2.63,95.1,186346,1,1,sc,1
2.96,95.3,104766,0,1,obc,1
2.25,69.6,168258,1,0,ews,1
2.88,87.7,177498,1,0,general,1
2.48,63.3,91806,0,1,ews,0
3.09,72.4,167821,1,0,st,1
2.79,90.0,127644,0,0,st,1
2.24,89.5,168337,0,1,ews,1
2.79,82.4,155320,0,0,obc,1
3.3,78.7,25912,0,0,general,1
3.46,65.5,123372,1,0,obc,1
2.15,58.9,125615,1,1,general,0
2.44,66.2,63012,0,1,obc,1
2.59,82.9,116539,0,1,obc,1
3.42,86.4,152330,0,0,st,1
3.54,75.0,92826,0,1,sc,1
2.64,74.2,178992,1,1,st,1
3.99,57.6,21732,0,1,obc,1
3.46,81.3,23915,0,0,obc,1
3.01,92.8,192569,1,0,sc,1
2.07,69.1,133754,0,0,obc,0
2.87,70.8,246582,0,0,ews,1
3.16,50.3,109745,0,0,st,0
3.05,64.0,137276,0,1,st,0
2.04,70.2,106891,0,1,obc,0
3.99,64.8,181988,0,1,sc,1
3.31,94.9,55670,0,1,sc,1
3.84,90.3,167225,0,0,general,1
2.16,86.2,248705,1,0,obc,0
2.23,94.2,172071,0,0,general,0
2.21,80.7,18832,1,0,sc,1
2.9,60.1,193433,0,0,sc,1
3.14,59.3,31658,0,1,sc,1
2.36,50.7,189783,0,0,ews,0
3.21,58.8,241325,0,1,obc,1
3.46,88.6,180335,0,0,general,1
3.31,89.2,245710,0,0,st,1
2.53,92.7,86120,0,1,general,0
2.3,59.3,121015,1,0,obc,0
2.93,97.8,232640,1,1,ews,1
3.63,84.3,180153,0,1,obc,1
3.51,99.9,124269,1,1,obc,1
2.08,70.2,235583,0,1,st,0
